Date,CP,Project
2024-04-14,5,cp
2024-04-21,5,
2024-04-28,0,
2024-05-05,0,
2024-05-12,0,
2024-05-19,0,
2024-05-26,0,
2024-06-02,0,
2024-06-09,4,
2024-06-16,0,
2024-06-23,0,
2024-06-30,0,
2024-07-07,0,
2024-07-14,4,
2024-07-21,0,
2024-07-28,0,
2024-08-04,0,
2024-08-11,0,
2024-08-18,0,
2024-08-25,0,
2024-09-01,3,
2024-09-08,1,
2024-09-15,0,
2024-09-22,0,
2024-09-29,0,
2024-10-06,0,
2024-10-13,0,
2024-10-20,0,
2024-10-27,0,
2024-11-03,0,
2024-11-10,11,
2024-11-17,0,
2024-11-24,0,
2024-12-01,0,
2024-12-08,2,
2024-12-15,0,
2024-12-22,0,
2024-12-29,0,
2025-01-05,0,
2025-01-12,0,
2025-01-19,5,
2025-01-26,0,
2025-02-02,0,
2025-02-09,8,
2025-02-16,0,
2025-02-23,4,
2025-03-02,6,
2025-03-09,0,
2025-03-16,1,
2025-03-23,4,
2025-03-30,2,
2025-04-06,1,
2025-04-13,0,
2025-04-20,0,
2025-04-27,0,
2025-05-04,21,
2025-05-11,0,
2025-05-18,0,
2025-05-25,0,
2025-06-01,0,
2025-06-08,2,
2025-06-15,0,
2025-06-22,0,
2025-06-29,0,
2025-07-06,0,
2025-07-13,0,
2025-07-20,0,
2025-07-27,0,
2025-08-03,0,
2025-08-10,1,
2025-08-17,0,
2025-08-24,0,
2025-08-31,0,
2025-09-07,0,
2025-09-14,0,
2024-09-08,6,mbti
2024-09-15,3,
2024-09-22,0,
2024-09-29,0,
2024-10-06,0,
2024-10-13,0,
2024-10-20,0,
2024-10-27,0,
2024-11-03,0,
2024-11-10,0,
2024-11-17,0,
2024-11-24,0,
2024-12-01,0,
2024-12-08,2,
2024-12-15,0,
2024-12-22,0,
2024-12-29,0,
2025-01-05,0,
2025-01-12,0,
2025-01-19,0,
2025-01-26,0,
2025-02-02,0,
2025-02-09,0,
2025-02-16,0,
2025-02-23,0,
2025-03-02,0,
2025-03-09,0,
2025-03-16,0,
2025-03-23,3,
2025-03-30,0,
2025-04-06,0,
2025-04-13,0,
2025-04-20,0,
2025-04-27,0,
2025-05-04,0,
2025-05-11,0,
2025-05-18,0,
2025-05-25,0,
2025-06-01,0,
2025-06-08,0,
2025-06-15,0,
2025-06-22,0,
2025-06-29,0,
2025-07-06,0,
2025-07-13,0,
2025-07-20,0,
2025-07-27,0,
2025-08-03,0,
2025-08-10,0,
2025-08-17,0,
2025-08-24,0,
2025-08-31,0,
2025-09-07,0,
2025-09-14,0,
